Model,Accuracy,Precision,Recall,F1,ROC-AUC
Random Forest,0.7783783783783784,0.6885245901639344,0.65625,0.672,0.8425878099173555
SVM,0.7891891891891892,0.7272727272727273,0.625,0.6722689075630253,0.8423295454545454
Gradient Boosting,0.7567567567567568,0.6461538461538462,0.65625,0.6511627906976745,0.8409090909090908
XGBoost,0.7567567567567568,0.6461538461538462,0.65625,0.6511627906976745,0.825154958677686
Logistic Regression,0.7783783783783784,0.676923076923077,0.6875,0.6821705426356589,0.8130165289256198
Decision Tree,0.7945945945945946,0.696969696969697,0.71875,0.7076923076923077,0.7913868801652892
Neural Network,0.7405405405405405,0.6052631578947368,0.71875,0.6571428571428571,0.7887396694214875
